name;gruppe;kategorie;kurzname;blz;bic;plz;ort
Volksbank Sprockhövel;Volksbank/Raiffeisenbank;;Volksbank Sprockhövel;45261547;GENODEM1SPO;45538;Sprockhövel
Volksbank Stade-Cuxhaven;Volksbank/Raiffeisenbank;;Volksbank Stade-Cuxhaven;24191015;GENODEF1SDE;21661;Stade
Volksbank Staufen;Volksbank/Raiffeisenbank;;Volksbank Staufen;68092300;GENODE61STF;79216;Staufen im Breisgau
Volksbank Stendal;Volksbank/Raiffeisenbank;;Volksbank Stendal;81093054;GENODEF1SDL;39576;Stendal
Volksbank Stuttgart;Volksbank/Raiffeisenbank;;Volksbank Stuttgart;60090100;VOBADESSXXX;70039;Stuttgart
Volksbank Störmede-Westenholz-Hörste;Volksbank/Raiffeisenbank;;VB Störmede-Westenholz-Hör.;41662465;GENODEM1SGE;33129;Delbrück
Volksbank Sulmtal;Volksbank/Raiffeisenbank;;Volksbank Sulmtal;62061991;GENODES1VOS;74182;Obersulm
Volksbank Süd-Emsland;Volksbank/Raiffeisenbank;;Volksbank Süd-Emsland;28069994;GENODEF1SPL;48480;Spelle
Volksbank Südheide - Isenhagener Land - Altmark;Volksbank/Raiffeisenbank;;VB Südh.-Isenh.L.-Altm;25791635;GENODEF1HMN;29221;Celle
Volksbank Südkirchen-Capelle-Nordkirchen;Volksbank/Raiffeisenbank;;Volksbank Nordkirchen;40069716;GENODEM1SCN;59394;Nordkirchen
Volksbank Thüringen Mitte;Volksbank/Raiffeisenbank;;VB Thür. Mitte Erfurt;84094814;GENODEF1SHL;99084;Erfurt
Volksbank Trier Eifel;Volksbank/Raiffeisenbank;;Volksbank Trier Eifel;58660101;GENODED1BIT;54292;Trier
Volksbank Trossingen;Volksbank/Raiffeisenbank;;Volksbank Trossingen;64292310;GENODES1TRO;78647;Trossingen
Volksbank Uelzen-Salzwedel;Volksbank/Raiffeisenbank;;Volksbank Uelzen-Salzwedel;25862292;GENODEF1EUB;29525;Uelzen
Volksbank Ulm-Biberach;Volksbank/Raiffeisenbank;;Volksbank Ulm-Biberach;63090100;ULMVDE66XXX;89073;Ulm
Volksbank Ulrichstein;Volksbank/Raiffeisenbank;;Volksbank Ulrichstein;51961023;GENODE51ULR;35327;Ulrichstein
Volksbank Usinger Land Ndl d Frankfurter VB;Volksbank/Raiffeisenbank;;Volksbank Usinger Land;50092900;GENODE51USI;61250;Usingen
Volksbank Vechta;Volksbank/Raiffeisenbank;;Volksbank Vechta;28064179;GENODEF1VEC;49364;Vechta
Volksbank Versmold;Volksbank/Raiffeisenbank;;Volksbank Versmold;47863373;GENODEM1VMD;33762;Versmold
Volksbank Viersen;Volksbank/Raiffeisenbank;;Volksbank Viersen;31460290;GENODED1VSN;41730;Viersen
Volksbank Visbek;Volksbank/Raiffeisenbank;;Volksbank Visbek;28066103;GENODEF1VIS;49425;Visbek
Volksbank Vogtland-Saale-Orla;Volksbank/Raiffeisenbank;;VB Vogtland-Saale-Orla;87095824;GENODEF1PL1;08525;Plauen
Volksbank Vorpommern;Volksbank/Raiffeisenbank;;Volksbank Vorpommern;13091054;GENODEF1HST;18439;Stralsund
Volksbank Weschnitztal;Volksbank/Raiffeisenbank;;Volksbank Weschnitztal;50961592;GENODE51FHO;64668;Rimbach
Volksbank Westerstede;Volksbank/Raiffeisenbank;;Volksbank Westerstede;28063253;GENODEF1WRE;26655;Westerstede
Volksbank Westmünsterland;Volksbank/Raiffeisenbank;;Volksbank Westmünsterland;42861387;GENODEM1BOB;48653;Coesfeld
Volksbank Westrhauderfehn;Volksbank/Raiffeisenbank;;Volksbank Westrhauderfehn;28591654;GENODEF1WRH;26817;Rhauderfehn
Volksbank Wilhelmshaven;Volksbank/Raiffeisenbank;;Volksbank Wilhelmshaven;28290063;GENODEF1WHV;26382;Wilhelmshaven
Volksbank Winsener Marsch;Volksbank/Raiffeisenbank;;VB Winsener Marsch;20069965;GENODEF1WIM;21436;Marschacht
Volksbank Wipperfürth-Lindlar;Volksbank/Raiffeisenbank;;VB Wipperfürth-Lindlar;37069840;GENODED1WPF;51688;Wipperfürth
Volksbank Wittenberg;Volksbank/Raiffeisenbank;;Volksbank Wittenberg;80063598;GENODEF1WB1;06886;Lutherstadt Wittenberg
Volksbank Wittgenstein;Volksbank/Raiffeisenbank;;Volksbank Wittgenstein;46063405;GENODEM1BB1;57306;Bad Berleburg
Volksbank Wißmar;Volksbank/Raiffeisenbank;;Volksbank Wißmar;50069976;GENODE51WWI;35435;Wettenberg
Volksbank Zollernalb;Volksbank/Raiffeisenbank;;Volksbank Zollernalb;65390120;GENODES1EBI;72336;Balingen
Volksbank Zuffenhausen m Zndl Stammheimer VB;Volksbank/Raiffeisenbank;;VB Zuffenhausen;60090300;GENODES1ZUF;70432;Stuttgart
Volksbank Zwickau;Volksbank/Raiffeisenbank;;Volksbank Zwickau;87095934;GENODEF1Z01;08056;Zwickau
Volksbank am Württemberg;Volksbank/Raiffeisenbank;;Volksbank am Württemberg;60060396;GENODES1UTV;70703;Fellbach
Volksbank an der Niers;Volksbank/Raiffeisenbank;;Volksbank an der Niers;32061384;GENODED1GDL;47623;Kevelaer
Volksbank im Bergischen Land;Volksbank/Raiffeisenbank;;Volksbank i.Bergischen Land;34060094;VBRSDE33XXX;42897;Remscheid
Volksbank im Elbe-Weser-Dreieck;Volksbank/Raiffeisenbank;;VB im Elbe-Weser-Dreieck;29265747;GENODEF1BEV;27613;Beverstedt
Volksbank im Harz;Volksbank/Raiffeisenbank;;Volksbank im Harz;26891484;GENODEF1OHA;37504;Osterode am Harz
Volksbank im Hochsauerland;Volksbank/Raiffeisenbank;;VB im Hochsauerland;40069266;GENODEM1MAS;59889;Eslohe (Sauerland)
Volksbank im Münsterland;Volksbank/Raiffeisenbank;;Volksbank im Münsterland;40361906;GENODEM1IBB;48143;Münster
Volksbank im Wesertal;Volksbank/Raiffeisenbank;;VB im Wesertal Coppenbrügge;25462680;GENODEF1COP;31863;Coppenbrügge
Volksbank in Ostwestfalen, Gütersloh;Volksbank/Raiffeisenbank;;Volksbank in Ostwestfalen;47860125;GENODEM1GTL;33602;Bielefeld
Volksbank in Schaumburg und Nienburg;Volksbank/Raiffeisenbank;;VB in Schaumburg & Nienburg;25591413;GENODEF1BCK;31737;Rinteln
Volksbank in Südwestfalen;Volksbank/Raiffeisenbank;;VB in Südwestfalen;44761534;GENODEM1NRD;57072;Siegen
Volksbank in der Hohen Mark;Volksbank/Raiffeisenbank;;Volksbank Hohen Mark, Reken;40069709;GENODEM1DLR;48734;Reken
Volksbank in der Region;Volksbank/Raiffeisenbank;;Volksbank in der Region;60391310;GENODES1VBH;72070;Tübingen
Volksbank pur;Volksbank/Raiffeisenbank;;Volksbank pur;66190000;GENODE61KA1;76045;Karlsruhe
Volksbank Überherrn;Volksbank/Raiffeisenbank;;Volksbank Überherrn;59391200;GENODE51UBH;66802;Überherrn
Volksbank Überlingen;Volksbank/Raiffeisenbank;;Volksbank Überlingen;69061800;GENODE61UBE;88662;Überlingen
Volksbank-Raiffeisenbank Glauchau;Volksbank/Raiffeisenbank;;VB-RB Glauchau;87095974;GENODEF1GC1;08371;Glauchau
Wiesbadener Volksbank;Volksbank/Raiffeisenbank;;Wiesbadener Volksbank;51090000;WIBADE5WXXX;65050;Wiesbaden
meine Volksbank Raiffeisenbank;Volksbank/Raiffeisenbank;;meine Volksbank Raiffbk;71160000;GENODEF1VRR;83022;Rosenheim
